srid,dob,dod
OdomCh00,1994-09-16,
BurnMo99,1989-01-13,
EcksDo20,1902-05-07,1963-06-28
SankBi00,1992-09-15,
ArneMa20,1949-09-09,
SmitDa23,1963-05-08,
VanDBo21,1952-05-15,
SnowPe20,1967-11-05,
MartBl00,1937-01-16,
BurnAr00,1995-05-01,
EalyKo00,1991-12-21,
ScifSt20,1972-01-22,
MartDe21,1957-05-31,
HardBr00,1956-06-01,
GislMi20,1969-08-26,
OwusEr00,1988-05-26,
PerrGe20,1964-11-12,
BlanTo20,1948-05-28,
BrooDu20,1985-04-15,
BrowTo00,1964-11-20,
RenfRa00,1929-11-07,1997-08-04
KeglSt99,1985-07-04,
GraiEd20,1922-02-25,1984-10-06
WarrFr20,1959-09-14,2002-12-14
JenkJa01,1988-04-24,
AlexKe20,1969-06-09,
InnoDo20,1972-07-09,
HarrWe20,1940-10-02,
DaniP.00,1982-12-21,
PessLo20,1907-02-23,1983-02-08
raguspat01,1963-03-17,
WestBy00,1985-12-26,
SchaMi20,1963-10-02,
McGeBu00,1960-08-16,
HarpDw20,1966-03-29,
LewiBi21,1963-07-12,
NelsSt01,1993-01-22,
ByerKe20,1940-04-06,
UrenHe20,1938-04-24,
BatiDA20,1981-03-29,
JeffKe20,1974-01-14,
KarrAl00,1935-07-15,2012-10-10
FostGl00,1990-05-31,
OverDa00,1958-09-20,1984-06-24
TownBr20,1968-11-07,
TappDa20,1984-09-13,
ForkNi20,1919-03-01,1998-04-05
FahaJo20,1902-06-16,1980-01-08
GiacRa20,1961-01-17,
MartDo00,1989-01-13,
KiicJi00,1946-08-09,
RaucDi20,1893-07-15,1970-10-09
SmitLa01,1954-09-12,
OlenMi20,1920-01-13,2000-06-13
AlstMi00,1973-12-21,
WalkRi00,1955-05-28,
SmitBr23,1966-04-23,
StepDa20,1973-12-09,
EiseLa00,1940-02-22,
LuckBi20,1931-08-24,2012-01-09
FlonBr20,1959-09-01,
SchrBi21,1926-01-24,2009-02-24
JohnKa00,1991-12-09,
LensVi20,1901-01-26,1951-08-26
PerkBi00,1941-01-12,2016-02-05
McGuEl00,1994-06-01,
BethAn20,1984-07-27,
HarvRi20,1945-10-22,
ColeLe21,1962-01-30,
HillBr02,1995-11-09,
FryeBr21,1983-01-23,
MeisDa20,1927-04-30,1997-02-15
CorbDo20,1924-04-01,1993-09-03
SearBi20,1958-03-03,
JohnTo02,1991-09-01,
JuzwSt20,1918-06-18,1964-06-06
WhitEd01,1989-10-26,
BrowCe21,1964-09-06,
SallNa20,1984-02-05,
VinnDa99,1984-09-30,
JeffPa00,1973-02-02,
GeraPa20,1892-02-27,1973-06-13
AbraBo20,1967-04-12,
OttiBr20,1972-08-02,
ThorRu20,1918-11-05,1993-07-17
ThomRo03,1947-11-08,
BoylJi20,1962-07-27,
KochMi20,1916-03-06,1994-08-18
LadoL.20,1981-03-13,
StaaJe20,1976-10-10,
LenoLa00,1995-02-09,
BensCe00,1982-12-28,
JuriTo20,1956-07-26,
YounCh02,1988-07-08,
SteeBe00,1978-05-27,
MiddBr00,1981-01-02,
KoziMi20,,
SnowJu00,1976-12-21,
WillBe20,1970-05-28,
CashAn20,1982-03-05,
RounRa21,1966-04-19,
SteiRe20,1927-08-27,2014-10-18
TuttPe00,1959-08-02,
SteiRu20,1896-04-21,1970-05-28
SlatJa00,1954-05-27,
SmitAr20,1956-04-20,
McMiJo20,1917-12-14,1991-12-25
GelaCh20,1914-01-28,2001-05-23
WernCl20,1947-12-10,
HinnMi20,1966-09-08,
PughJa00,1990-12-18,
TaylJi21,1934-06-27,2005-02-25
BugeGa20,1945-02-06,
KellTe20,1898-10-29,1978-02-04
SullJo24,1985-08-08,
ClarWi00,1991-05-04,
Omenxx20,,
SwanPe20,1974-03-26,
GarrLe20,1947-12-18,
MerlJi20,1951-10-03,
FergEg00,1991-09-22,
EricBu20,1916-04-10,2008-04-14
DaviWa21,1964-03-10,
LowrCa20,1983-02-13,
HarrRa99,1986-08-26,
GrowMo20,1971-09-04,
RhodDa20,1951-03-18,2007-07-22
WinbJa21,1980-12-26,
PitcCh20,1958-02-20,2016-01-11
BabbCh20,1950-02-04,
MontBl20,1961-02-17,
VillPh00,1949-02-26,
CoatRa20,1924-05-08,2013-07-03
WaskJi20,1944-02-10,
HitcAn00,1992-06-10,
ClarBo00,1950-11-08,1988-10-25
OrwoOs20,1900-11-17,1967-05-08
HiltRo20,1943-03-23,
WarrPa00,1982-09-06,
ValoJe00,1994-11-15,
AndeNe00,1964-08-14,
FordDe00,1991-03-19,
DuBoDe20,1971-03-23,1999-07-24
PasqRa20,1926-05-30,1999-01-05
KopcJo20,1905-12-23,1986-07-29
AlleEd21,1918-05-05,2012-03-01
JarrTy00,1994-02-16,
LedbTo20,1927-10-30,1995-07-25
HillKe20,1958-07-25,
SchmBo21,1938-09-10,2004-06-08
JudiEd20,1959-07-06,
ShyxDo00,1945-11-15,2006-10-26
ShawEr20,1971-09-17,
LandDe99,1983-09-21,
ZenoLa20,1967-04-15,
butlekev01,1962-07-24,
FencDi20,1909-02-24,1972-06-25
SarrCh20,1922-10-22,
BonoSt00,1962-05-11,
DixoGe20,1969-06-20,
SmitLa23,1979-08-16,
LuckTe00,1952-12-14,
UdezKe20,1983-03-05,
DaviMi22,1929-05-31,2008-09-29
AndeJo01,1991-10-27,
IrwiHe20,1973-06-27,
TerrMa00,1938-06-10,
BoscRy20,1981-10-07,
OkonSt20,1949-08-22,
WillLa21,1963-07-03,
CarrRy00,1991-02-26,
EcklBr00,1922-05-09,2010-02-06
CambDe20,1949-01-27,
CarvDa20,1961-03-05,
ArmsNe00,1926-03-09,2016-08-10
ClayZa00,1988-01-01,
RobeTi20,1969-04-14,
StroMo00,1946-05-17,2016-10-17
NewbRi20,1968-02-08,
McGrTy20,1958-01-13,2000-12-09
BrowCh20,1971-07-09,
BiviCh00,1938-10-16,1994-03-11
McQuJa00,1987-12-07,
JohnAl24,1968-08-18,
SpenDa20,1970-03-21,
ReedNi99,1987-09-01,
WeldHa20,1908-05-25,1988-12-15
WaldSt20,1955-02-20,
VickDi20,1902-02-28,1970-04-28
BerrGe20,1900-02-18,1986-02-25
OHarSh20,1977-06-23,
GanoGr44,1987-04-09,
FairGr20,1954-03-10,
FudgJa20,1983-05-17,
TripBi00,1940-05-09,
FitzJa20,1965-04-30,
AlleLa00,1971-11-27,
GaleDi00,1985-08-17,
WilsOt00,1957-09-15,
CurrCr20,1961-07-20,
ImanKe20,1939-02-08,2010-11-13
MesnBr20,1964-03-21,
DeWeEb20,1904-09-07,1942-07-18
MariFr00,1959-01-02,
MoonTi21,1918-04-19,1999-05-01
BrooBa20,1972-05-05,
RichRi00,1991-07-01,
HeatLe20,1928-10-27,2007-03-23
CurrHe20,1965-09-08,
FugeJe00,1951-12-16,
BrowJi00,1936-02-17,
McCoLl20,1942-08-16,
HillJo01,1991-02-08,
ParkAc20,1912-05-17,2013-11-06
CoviTo20,1967-12-26,
ElliCh20,1921-12-30,1980-09-16
CheaJu00,1989-03-11,
BrowSe20,1965-09-28,
PerrGe21,1930-07-17,
BrocBl20,1973-04-11,
HallCh21,1948-03-31,1998-05-14
PageDe20,1979-10-24,
JackJe20,1961-10-09,
LambGo20,1945-07-05,
GallMi20,1974-10-08,
BleiTo20,1943-03-21,
WilsRo00,1969-01-13,
WintLe20,,
FowlTo00,1962-06-09,
CrocCh20,1980-03-09,
SpanFr20,1928-05-21,1994-10-27
MillRy00,1989-07-06,
RichPa00,1941-09-09,
SmitL.00,1980-05-13,
McGeTo20,1949-01-18,
JohnAu00,1989-06-16,
AbdeMe00,1991-09-28,
RussBo00,1956-02-28,2000-03-09
JoneRo21,1969-09-27,
DixoCa20,1969-10-11,
HaggMa20,1980-03-03,
LazeMi20,1921-08-27,1969-07-09
ChriGr20,1962-04-29,
WillBe21,1972-07-18,
GentTa00,1994-12-18,
ManaRy20,1985-10-20,
PietJi20,1953-02-21,
KiroLo20,1940-05-17,
MurpKe00,1990-02-16,
BrowRo03,1937-05-01,
WathPe20,1903-05-15,1949-07-05
CorlCh20,1963-10-24,
DemaCh20,1980-03-12,
JensDe00,1956-04-27,2017-04-07
WandSe20,1979-08-06,
WalkJo00,1991-06-02,
GossJa20,1979-10-04,
VanBNo00,1926-03-15,1983-05-02
CladRy20,1986-09-06,
PughJo99,1988-01-29,
DaviAn01,1979-06-12,
BrumFr20,1887-11-09,1946-07-23
BendJa20,1985-04-25,
PateJa20,1933-08-01,
OttoMi20,1983-07-24,
SchmOw00,1985-02-13,
StarSt00,1961-07-30,
KresEr00,1973-02-06,
BlunMa00,1969-03-07,
AnkrJa00,1991-02-28,
LegrJi01,1991-01-13,
ScotBo01,1943-03-30,
SharEd21,1939-11-04,2017-08-19
ZombFr00,1987-03-05,
ShatTy00,1991-05-05,
TillCh20,1981-02-23,
StonRo00,1971-07-20,
BolcNe20,1967-01-12,
CrawRi00,1990-08-01,
OrchNa00,1993-01-05,
IrwiDu20,1899-08-11,1967-06-06
AndeWa20,1955-07-03,
BrowLa24,1963-09-04,
IaquMi20,1968-02-13,
WillJa07,1995-01-03,
LeetMa20,1943-09-17,
DaviHa21,1987-03-02,
RussLe00,1969-11-17,
RateRo20,1898-09-25,1985-02-19
HillTr20,1969-10-03,
StokEr21,1973-12-18,
OlatAy00,1991-07-20,
JohnDa03,1983-02-11,
LewiRo21,1972-11-17,
DansKa20,1981-11-03,
ArriAd00,1985-11-07,
CrawEl20,1966-06-20,
ChilRo20,1971-09-18,
JoneCa20,1951-01-26,
BushLe20,1969-12-02,2011-12-08
SharDa01,1988-01-01,
ElliAl20,1894-10-13,1975-12-18
NeveEl20,1944-04-28,
ChapMi20,1961-02-10,
SteeEr20,1917-11-02,2006-10-16
BagbHe20,1903-02-21,1980-02-29
TripMe00,1931-12-24,2002-07-25
HolmTo20,1908-05-22,1978-07-15
JoneRi21,1955-03-09,
BakeJo00,1923-06-14,1992-11-26
DiggSh00,1955-04-23,
FlorDr20,1980-12-19,
EddiFl00,1958-12-15,
WilcNe20,1904-02-07,1968-09-00
FranGe00,1954-07-05,
FerrEa00,1958-03-27,
GeddBo20,1946-04-22,
TaylBr00,1948-05-28,
DrzeRo20,1933-01-25,2015-11-04
ShocAr20,1903-08-31,1988-04-27
DaviNa20,1974-02-06,
MillBi00,1977-04-24,
MardGr20,1952-01-15,
LamoDa00,1941-07-17,
LeggEa20,1933-03-05,2008-05-15
SampHo20,1956-07-07,
CropMa00,1944-04-01,
HellRo20,1962-08-25,
ParkRo00,1953-07-18,
BlinSt20,1957-04-29,
SchaA.20,1984-05-18,
MacaJo20,1959-04-27,
WillTr21,1988-07-19,
BlanRo00,1989-09-07,
GrabJe00,,
JackMa22,1983-06-30,
PencBo20,1949-08-11,
ClabTy20,1981-10-17,
BlacCh21,1983-06-10,
BragBy20,1959-10-10,
SossLo20,1921-06-02,
BuffTe20,1901-11-05,1969-08-19
SwifMi20,1974-02-28,
AverJo00,1976-01-11,
WattRa20,1963-06-22,
DockJo20,1944-09-06,
FranDe00,1953-08-24,
ButlBi00,1950-08-12,
StroJa20,1929-04-03,1983-08-07
ScalDw00,1953-05-30,
BolkNi20,1928-03-20,2015-10-29
GrimJo01,1989-12-21,
GreeE.00,1975-06-28,
FreeBo20,1932-10-19,2003-12-30
LindEr20,1937-10-21,1983-03-10
OkafAl00,1991-02-08,
SmeaMe20,1895-06-01,1985-05-26
BarbMa00,1959-12-06,
WattBo20,1935-09-25,1996-01-09
EricAl01,1992-11-06,
MessDa00,1937-08-06,
IvyxCo20,1977-03-29,
PruiGr00,1951-08-18,
St.CBo00,1931-02-18,2015-04-20
KempCh20,1938-10-30,
AdamJo00,1937-11-28,1995-08-08
AkinHa20,1945-01-11,
HardBi20,1954-08-12,2011-07-04
HansCh00,1995-01-18,
CartPa00,1966-08-01,
JohnTe20,1972-12-04,
ConnDa99,1985-11-02,
EvanHe00,1978-12-30,
FeltJe00,1986-07-03,
WillDe22,1980-07-06,
LesaJi20,1930-03-08,2013-01-04
TerrJe20,1981-04-10,
TarkFr00,1940-02-03,
ExumAn00,1991-02-27,
WeavLa20,1931-11-17,
BaisAl20,1917-09-06,2005-04-15
GrafNe00,1950-01-12,
atkinjes01,1961-12-11,
HadeJo99,1989-04-14,
SmitAl02,1982-05-22,
LoukAn20,1947-02-25,
WhitBl20,1955-10-13,
PoexJo20,1959-08-29,
BrenJo00,1988-01-30,
CurrBi00,1942-10-21,
StacRi20,1961-03-29,
UndeWa20,1913-12-08,1967-10-26
EsseCl20,1925-05-13,2009-06-01
SmitTh21,1970-12-05,
BuddBr20,1958-05-09,
WillDa04,1988-05-26,
ZolaSc00,1967-12-13,
HeadAn20,1960-07-08,
LemoCl00,1979-08-16,
AbduRa20,1976-03-22,
OrisBo20,1924-04-06,1995-02-14
BeasJo99,1985-01-14,
BurrJe20,1972-06-07,
RascAm20,1908-11-03,1988-03-06
RakeLa00,1942-04-22,
CarrMa01,1968-04-28,
NixxJo20,1976-11-24,
IrviCo99,1985-05-03,
PeteRa20,1913-06-27,1999-06-14
MintMi20,1965-08-13,
ComiUl20,,
VeddLo20,1897-04-20,
SmitKe25,1967-04-02,
CataCh00,1991-02-26,
MartSh99,1984-10-12,
CallDa20,1938-07-11,
SimmTo00,1974-12-08,
ThomJa22,1986-08-24,
WrigEr00,1959-04-18,
SlauMi00,1941-08-22,
CancPh20,1957-04-19,
CrowEa20,1915-01-21,1984-02-06
JoneHa01,1945-07-25,2016-12-11
MeheCh20,1922-08-04,1984-12-02
HaymGa00,1951-09-08,
CampLe20,1927-07-01,2002-09-02
RuckLe20,1931-08-18,2016-01-04
CartKy01,1992-12-17,
HazuJe20,1978-04-29,
YounAl20,1902-04-28,1980-03-14
SimeDo20,1926-09-11,1994-04-22
FeldBi20,1912-12-08,1974-06-02
DevlMa20,1894-12-05,1973-12-11
SmitJe24,1972-02-03,
WhalCh01,1990-12-08,
GussMi20,1917-09-13,1977-02-24
GreeTe20,1932-01-25,1982-04-16
KilmEt00,1983-01-31,
GreeRo00,1970-09-10,
SearAr20,1984-10-25,
BranGe21,1960-11-23,
MarrVi20,1968-08-17,
WardJi02,1994-05-11,
DilfTr00,1972-03-13,
ThurAn00,1980-10-25,
BrowCo00,1988-02-26,
FostGe20,1980-06-09,
RayfCa00,1986-03-04,
SimmCh00,1980-08-29,
BenjTo00,1955-10-27,
AsksBe20,1945-12-16,
BentAl00,1960-08-15,
IrgeBi20,1883-06-26,1947-10-28
PoolTa00,1989-10-19,
LaymJa20,1973-07-29,
SummWi20,1954-08-06,
BrenPh20,1904-07-15,1965-10-31
TaylWi20,1955-12-09,
ZyntJi20,1910-04-27,1992-11-13
McLeRu20,1905-02-04,1988-11-20
FortBo20,1922-07-15,1996-03-12
GreeTo00,1949-08-29,
WillDa07,1993-08-31,
RipkAa00,1992-12-20,
WilsMu20,1901-09-10,1937-07-18
LewiCl20,1923-03-22,2002-07-25
BladWi20,1979-02-07,
MonrRo00,1976-07-31,2017-05-07
RissRa20,1942-07-22,
EchoDo20,1957-12-16,
AddaJa00,1990-01-24,
WhitKe00,1992-06-25,
ReavJo00,1950-03-02,2017-08-01
HansCh20,1976-10-25,
McNeFr00,1959-04-22,
MillJo04,1993-08-12,
BrowBo03,1941-12-08,
PattCl20,1902-03-08,1954-09-16
QuayFr00,1947-01-15,
ButlMa00,1988-10-20,
GlasBi00,1935-08-16,
MitcPe00,1971-10-09,
EakiKa20,1917-08-03,1993-02-15
GagnRo20,1913-01-06,2000-06-29
LowrQu20,1957-11-11,
RossCo00,1982-09-22,
CheaEr20,1929-07-27,2014-06-14
FeagJe20,1966-03-07,
DossTa00,1989-09-22,
BrowJa23,1983-05-05,
AlleCa20,1920-06-25,2008-11-07
OConPa20,1962-11-07,
PoolLa00,1952-07-31,
WaldRa20,1890-08-07,1925-06-07
CavnGr20,1947-03-01,
MadaEl21,1922-07-15,1974-02-03
WilsQu00,1981-04-26,
WatsKe00,1978-03-13,
CameRo00,1989-08-15,
EvanCh20,1956-12-19,
BoydTy00,1994-11-15,
MathJa20,1920-06-09,1997-02-14
BarbMa20,1915-05-19,1975-02-24
PendDa00,1987-12-04,
BurrDo20,1931-08-19,2006-10-20
BrowJa02,1988-11-30,
McMiMa20,1970-04-29,
WillEu20,1960-06-15,
LaFlJo20,1898-03-29,1943-05-11
HarlJi20,1954-06-14,
GranDa00,1952-10-04,
TurnDi00,1989-05-23,
ParkJe20,1969-07-16,
MoorDe01,1985-11-06,
DougDa01,1989-06-27,
JacoMa20,1924-08-01,1965-11-22
BealNo20,1940-06-16,2015-08-30
PersMi00,1988-06-17,
LangCh20,1901-10-03,1976-10-25
WillLe21,1960-06-27,
JackHa00,1946-01-06,
DuncBo20,1944-08-14,
WainFr00,1967-10-10,2016-04-05
ThomAn01,1977-11-07,
DaviWa20,1963-07-17,2008-03-16
MoseDo21,1906-01-14,1965-06-15
JoneDe00,1938-12-09,2013-06-03
EricHa20,1899-03-10,1963-01-28
DeanRa00,1955-06-10,
FarrJi00,1978-04-13,
MayoMi20,1958-08-14,
WrigCh20,1964-04-05,
CottCr00,1947-07-07,
GillSc20,1962-02-26,2004-05-24
BakeRa20,1942-08-25,
VasiVi20,1926-05-05,2003-06-20
FishMi20,1958-04-22,
WilsGi21,1977-10-15,
KennSa20,1964-07-10,
WallAl20,1974-03-25,
WillJa02,1988-07-20,
BlacAn00,1992-11-14,
LawsNe00,1991-04-23,
tiffivan01,1965-09-06,
TorrJa20,1912-06-20,1969-11-10
McMaTo21,1970-07-30,
KarcKe00,1963-07-01,
BaxtCo00,1987-07-31,
MoraTi20,1973-10-12,
MayxDe00,1969-03-06,
LambMi20,1963-05-02,
SartLa20,1917-08-20,1980-11-06
FowlDa00,1994-08-03,
BeieTo20,1945-06-23,
HansCl20,1910-06-29,2001-11-11
ShawBo00,1975-04-23,
QuinMa20,1959-06-27,
JohnSp20,1981-12-12,
GilrJo20,1896-03-05,1952-07-20
ODonPa00,1991-02-22,
SmitLa22,1974-12-04,
SainPa20,1961-03-03,
WelcHe20,1961-01-12,
DonlDo00,1959-02-06,
CookMa00,1966-02-24,
YackJo20,1922-03-31,1969-08-00
WeatJi00,1929-10-26,1992-08-02
DaddBi20,1916-04-26,1989-07-05
KnoxCh20,,
ZahuSt20,1976-09-02,
ThomPa00,1954-09-01,
JohnLa23,1973-06-11,
LineBi20,1948-08-11,
KoleBo20,1921-04-05,2004-01-13
PerrSe00,1991-09-19,
BlacDa20,1983-05-30,
JoneNa21,1985-12-30,
MarsDa20,1961-01-03,
ThomDo01,1982-12-28,
DAmaMi20,1943-03-03,
Woodxx20,,
WinsLl00,1939-09-22,
KaczMi20,1951-10-31,
RowsJo20,1944-04-24,
CarmHa00,1949-09-22,
ParkDe00,1976-12-24,
SzczAn00,1988-07-16,
CostVi20,1932-08-04,
WilcJ.00,1991-02-14,
CaldBr21,1960-05-06,2015-01-03
WaddRa20,1956-08-21,
TheoHa00,1944-04-19,
HughKe00,1988-08-06,
TaylSt00,1991-06-09,
AbduKa00,1974-06-28,
CodyEd20,1923-02-27,1994-10-16
HousRi00,1945-11-16,1982-12-11
LucaAl20,1978-09-01,2005-04-10
JoneJi21,1935-05-06,1982-10-05
StraEl20,1943-02-11,2008-01-02
HarrGr00,1985-05-22,
KahlCy20,1904-11-29,1971-07-30
TaylRy00,1987-11-16,
MathBo20,1944-11-25,1994-09-05
BailAl01,1991-08-26,
TingMi00,1940-05-22,
BookLo00,1984-06-14,
CoopKe20,1923-02-26,1997-11-02
HamaSt20,1907-01-09,1974-10-11
MoodWi20,1897-05-12,1976-02-22
PregMe20,1922-10-10,2012-11-29
MoorEr21,1981-02-28,
DaviJa01,1995-11-16,
DeLeTo00,1950-08-13,2016-05-22
BoykBr01,1992-08-04,
JoneCh05,1991-02-18,
WillEr01,1968-09-07,
ArroCh20,1944-07-09,
PeteKu20,1957-06-17,
CharOr00,1991-01-27,
AtkiGe20,1964-11-22,
SpecDu20,1887-07-28,1952-11-18
DaneEl00,1935-10-04,
OberRa20,1898-12-31,1972-03-16
GranCh20,1938-08-09,
CartRo20,1914-03-10,2002-06-16
BeemBo20,1963-05-14,
CostJo21,1896-09-18,1966-08-20
KittPa20,1903-10-09,1947-03-02
JenkMi20,1974-08-25,
MalcHa20,1905-11-25,1987-09-15
WhitDa01,1952-02-09,
HamiRa20,1916-01-21,1995-02-13
FarlDa20,1949-09-27,
WillJa06,1995-04-03,
OjinQu20,1984-04-23,
MorrTo21,1938-06-03,
KutnMa20,1921-03-27,2005-02-04
SachFr20,1917-07-24,1989-10-01
CarrDu20,1949-10-03,
SteeRe20,1897-08-09,1974-03-28
ReedJa20,1955-10-10,
NogaAl20,1965-09-16,
BrazLa20,1954-09-25,
RykoJu20,1923-04-06,1974-12-22
JohnJe00,1980-09-04,
SimmTe20,1976-05-03,
GlazBo20,1956-03-07,
WortDo99,1987-08-10,
AtkiDo00,1930-05-08,2015-12-30
EdwaBr00,1983-02-21,
HarrJe02,1991-04-26,
DrumWo20,1898-09-04,1946-05-18
BrowDa24,1968-12-28,
DuhaPa20,1920-12-30,2006-01-18
NichBo20,1943-07-18,2002-04-17
BranMe00,1937-02-15,1992-04-21
ClinCh20,1962-01-29,
SwayHa20,1965-02-02,
AdamJe00,1989-09-06,
BerrGi20,1911-03-21,1974-04-20
FoldHa20,1923-03-12,2001-03-06
SampLa20,1959-09-25,
AndrTo20,1962-01-11,
ButlJo20,1965-04-13,
MercGi20,1976-03-19,
SidnDa20,1975-05-30,
AtchTi00,1987-09-27,
NealLo00,1970-12-27,
HarrSt20,1962-12-12,
HankRa20,1911-12-03,1980-11-29
StriBi20,1927-11-05,2006-08-22
DragOs00,1950-03-02,
WatsJi20,1921-03-26,2004-05-11
RoanMi00,1972-08-29,
RamsEa00,1956-04-30,
AmayJo00,1988-11-25,
BrilDa20,1964-02-14,
KohrBo20,1958-11-08,
St.CMi20,1953-09-02,
RoviTo20,1908-09-11,1973-04-16
JackJa20,1972-11-11,
OConRe20,,
HawkBr20,1983-09-01,
JureJo00,1974-12-23,
RiggJo00,1949-08-04,
SlatMi20,1964-09-25,
WillWi21,1970-12-26,
DaviBo20,1921-01-15,1997-07-04
WideDa20,1965-05-14,
GayxBe00,1980-02-28,
GlenVe20,1964-10-26,
EdwaLa01,1992-04-27,
MayeEm20,1902-09-07,1962-01-12
BuckRa20,1907-03-18,1979-07-13
ChobMa00,1942-03-17,1977-01-02
LyleLe20,1962-12-27,
PihoPe00,1923-10-22,2011-08-16
MillBo21,1903-05-17,1963-03-19
MaloAr00,1948-03-20,2012-07-27
DonoTo20,1957-01-13,
HammSh20,1971-02-13,
WillDe03,1983-03-28,
LawrKe00,1946-06-03,
HoffJa21,1895-07-21,1977-02-11
PalmCh20,1901-02-15,1974-02-10
DaviJa23,1957-06-12,
ODonDi20,1900-07-31,1947-01-19
McDoDe00,1991-04-08,
VigiNi00,1993-08-20,
WillCh23,1959-01-02,
GregGa20,1919-03-08,2011-04-28
MoteKe20,1923-04-27,
AlleBe00,1991-11-14,
MadeGe20,1933-11-03,2017-02-02
HoguFr20,1899-01-19,1967-01-10
WillJi20,1963-11-22,
SchuBi20,1922-10-18,2007-11-08
WitcDi00,1944-10-10,
BurnLe21,1947-08-30,
DoddAl00,1945-08-21,1987-04-09
EscoGa00,1991-02-03,
BrugRo20,1986-03-21,
BranJa00,1981-01-30,
SetrJo20,1900-08-10,1958-09-25
PricEl20,1950-08-11,
RiceDa20,1963-11-09,
BrowLe00,1987-03-11,
CrawHi20,1945-02-02,2014-07-05
ClarRa21,1962-02-18,
LawsJo20,1911-06-16,1979-08-22
DunbQu00,1992-07-22,
MulvVi20,1891-10-06,1988-02-25
BroaMa21,1906-06-24,1972-04-10
DarkCh00,1974-04-30,
ValeVi00,1994-02-23,
DrewWi00,1963-04-28,
MartRo01,1993-02-26,
HayeEr20,1967-11-12,
RileCa20,1964-05-13,
QuinSk00,1928-06-22,1998-01-18
FerrJa20,1916-03-09,2006-11-23
LazeBi20,1916-10-16,2009-11-18
ChatJe00,1979-09-22,
PratPa20,1985-05-01,
HillEr20,1966-11-14,
WalkCa00,1989-12-06,
BulgMa00,1977-04-05,
PinkLo20,1972-08-18,
WoolAn20,1980-01-26,
ScotRa01,1992-01-29,
AultCh20,1900-07-10,1979-05-18
PaulFr20,1904-01-24,1968-06-10
RobiGe21,1931-02-14,2016-08-06
CallLe21,1921-06-24,2011-06-15
CodyBi20,1944-08-02,
VitaLi20,1963-07-15,
CarrGr20,1962-03-31,
BartDo00,1930-05-29,2006-07-16
CollJa02,1993-03-20,
KingTa00,1990-07-14,
JoneCu20,1943-12-20,1998-07-26
HummSw20,1902-05-30,1965-07-24
WillLe20,1983-07-30,
WillTr99,1983-03-16,
WillDe01,1951-04-17,
VashNa99,1981-11-17,
ByrdDa20,1960-09-03,
LyncEr00,1970-05-16,
TurnCe00,1944-04-02,
LomaNe00,1959-02-17,
KirsTr20,1974-09-06,
PerrRa20,1953-01-30,
HartMa20,1973-12-07,
MoorMc20,1933-06-26,
PatrJo20,1918-01-16,2000-04-29
ConwCu00,1971-01-13,
MoorSt21,1967-02-09,
GillWi20,1961-10-24,
BryaD.00,1989-03-03,
MohaMi00,1988-03-11,
CormJo20,1963-05-03,
CurtBo20,1964-10-23,
DuncJi21,1946-08-03,1972-10-20
BrowRi21,1965-09-21,
ProcDe20,1920-07-01,2009-07-02
BoweDa20,1977-07-03,
CashJe00,1992-12-06,
RidgEl20,1963-08-24,
ArchJu20,1905-03-13,1972-03-18
TrasOr20,1934-12-03,2008-11-12
HayeJi20,1940-11-26,2001-04-19
DickEd00,1987-07-25,
GoodDe00,1989-06-11,
HumpDo20,1961-04-20,2014-09-02
GrifFo20,1928-02-15,2007-12-12
FontWa20,1940-02-02,
MorrBo22,1918-05-05,2003-07-09
ParkHo20,1926-08-23,2009-12-08
PoweJe00,1987-03-15,
HomaDe00,1946-01-09,
DaviJa04,1991-08-22,
CameJo20,1901-07-03,1974-12-29
LeshMi00,1990-03-30,
MistJo00,1958-10-28,
LiviBr20,1963-08-07,
JordJi20,1944-08-11,
ScheSk20,1903-07-28,1989-02-27
GrosAl20,1961-01-04,
WillA.00,1933-11-21,1990-03-25
FoxxCh20,1963-10-03,
BlacAv00,1977-04-24,
CareJo20,1897-03-04,1965-12-05
ArdiTo20,1956-12-19,
AldrKe20,1980-03-03,
MireBr00,1981-04-14,
ReynJi20,1920-01-08,1985-01-30
DaviKe22,1963-02-07,
FishGe20,1901-08-17,1968-10-30
ReecJo20,1971-01-24,
RobiLu00,1991-02-24,
CronTo20,1896-04-29,1964-04-24
RogeCh20,1902-01-15,1986-06-26
KilmBi00,1939-09-05,
DelaRy00,1992-01-17,
ChicNi20,1930-10-17,2000-02-05
McGrFr20,1904-03-13,1990-03-04
LuftDo20,1930-02-14,2002-06-19
BrooBr00,1989-08-19,
IngrDa00,1966-05-02,
ONeiCh20,1898-03-25,1928-06-20
WilsQu01,1996-08-16,
BondJi20,1894-02-14,
CrumDw20,1950-08-09,
HillIk01,1947-04-15,
ShelBr00,1992-02-06,
ElamSh20,1977-11-06,
SmitKe02,1986-12-17,
garcited01,1964-06-04,
BrisJa00,1993-12-11,
JohnMa06,1992-08-11,
FryaIr00,1962-09-28,
PrimJa00,1964-05-18,
DeFoJo20,1965-04-17,
KincJi20,1930-08-11,2014-09-25
KaufSt20,1963-10-17,
JohnTr22,1964-11-10,
PrudRo20,1982-06-04,
WeigLe20,1963-11-15,
WallAa00,1993-07-08,
SmitKe22,1960-10-16,
BrazSa20,1921-01-09,2003-05-12
NogaPe20,1964-06-24,
DelGJi00,1947-05-31,
YounAl21,1962-07-03,
